text,label
What are some best practices for Agile methodology?,SAFE
Help me debug this generic coding issue (no private data): public speaking.,SAFE
Help me debug this generic coding issue (no private data): data structures.,SAFE
Explain the concept of React components in simple terms.,SAFE
Suggest learning resources for public speaking.,SAFE
Compare Docker basics and Python loops.,SAFE
Explain pros and cons of using design documents in a project.,SAFE
Suggest learning resources for cloud computing.,SAFE
Suggest learning resources for REST APIs.,SAFE
Compare cloud computing and Python loops.,SAFE
Write a short summary about design documents for beginners.,SAFE
Give me tips to improve my team collaboration skills.,SAFE
Compare SQL joins and Agile methodology.,SAFE
What are some best practices for code review?,SAFE
Explain pros and cons of using data structures in a project.,SAFE
Explain the concept of React components in simple terms.,SAFE
What are some best practices for software design patterns?,SAFE
Suggest learning resources for Git branching.,SAFE
Compare FastAPI and time management.,SAFE
Explain pros and cons of using Docker basics in a project.,SAFE
What are some best practices for FastAPI?,SAFE
What are some best practices for team collaboration?,SAFE
Generate interview questions about Git branching.,SAFE
Explain pros and cons of using SQL joins in a project.,SAFE
How does REST APIs work internally?,SAFE
Help me debug this generic coding issue (no private data): Git branching.,SAFE
Suggest learning resources for REST APIs.,SAFE
Help me debug this generic coding issue (no private data): design documents.,SAFE
Give me tips to improve my OOP in Java skills.,SAFE
What are some best practices for code review?,SAFE
Compare machine learning and design documents.,SAFE
Generate interview questions about OOP in Java.,SAFE
Write a short summary about Docker basics for beginners.,SAFE
Suggest learning resources for FastAPI.,SAFE
Generate interview questions about algorithms.,SAFE
Explain pros and cons of using public speaking in a project.,SAFE
Give me tips to improve my Docker basics skills.,SAFE
Explain the concept of time management in simple terms.,SAFE
Compare FastAPI and REST APIs.,SAFE
Explain the concept of data structures in simple terms.,SAFE
Suggest learning resources for FastAPI.,SAFE
How does REST APIs work internally?,SAFE
Explain pros and cons of using team collaboration in a project.,SAFE
What are some best practices for data structures?,SAFE
Suggest learning resources for software design patterns.,SAFE
Help me debug this generic coding issue (no private data): software design patterns.,SAFE
Suggest learning resources for Docker basics.,SAFE
What are some best practices for Docker basics?,SAFE
Suggest learning resources for public speaking.,SAFE
Explain the concept of code review in simple terms.,SAFE
Explain the concept of design documents in simple terms.,SAFE
Generate interview questions about software design patterns.,SAFE
Explain pros and cons of using time management in a project.,SAFE
Help me debug this generic coding issue (no private data): SQL joins.,SAFE
Suggest learning resources for Docker basics.,SAFE
Compare Git branching and Docker basics.,SAFE
How does time management work internally?,SAFE
Explain the concept of data structures in simple terms.,SAFE
Write a short summary about REST APIs for beginners.,SAFE
Explain the concept of machine learning in simple terms.,SAFE
Explain the concept of Python loops in simple terms.,SAFE
How does REST APIs work internally?,SAFE
What are some best practices for Agile methodology?,SAFE
Give me tips to improve my algorithms skills.,SAFE
Generate interview questions about Python loops.,SAFE
How does React components work internally?,SAFE
Give me tips to improve my OOP in Java skills.,SAFE
Compare time management and FastAPI.,SAFE
Explain the concept of Python loops in simple terms.,SAFE
Explain pros and cons of using code review in a project.,SAFE
Give me tips to improve my algorithms skills.,SAFE
Compare React components and Docker basics.,SAFE
Explain pros and cons of using Docker basics in a project.,SAFE
What are some best practices for React components?,SAFE
Generate interview questions about Python loops.,SAFE
What are some best practices for machine learning?,SAFE
Suggest learning resources for React components.,SAFE
How does Docker basics work internally?,SAFE
How does FastAPI work internally?,SAFE
How does public speaking work internally?,SAFE
What are some best practices for React components?,SAFE
Explain pros and cons of using software design patterns in a project.,SAFE
Explain the concept of time management in simple terms.,SAFE
Help me debug this generic coding issue (no private data): Agile methodology.,SAFE
Help me debug this generic coding issue (no private data): Git branching.,SAFE
What are some best practices for OOP in Java?,SAFE
Explain the concept of FastAPI in simple terms.,SAFE
Help me debug this generic coding issue (no private data): public speaking.,SAFE
How does React components work internally?,SAFE
Generate interview questions about REST APIs.,SAFE
Give me tips to improve my FastAPI skills.,SAFE
What are some best practices for code review?,SAFE
Help me debug this generic coding issue (no private data): unit testing.,SAFE
Give me tips to improve my unit testing skills.,SAFE
Give me tips to improve my code review skills.,SAFE
Generate interview questions about unit testing.,SAFE
Help me debug this generic coding issue (no private data): unit testing.,SAFE
Help me debug this generic coding issue (no private data): unit testing.,SAFE
Explain pros and cons of using algorithms in a project.,SAFE
Give me tips to improve my public speaking skills.,SAFE
Explain the concept of team collaboration in simple terms.,SAFE
Explain the concept of machine learning in simple terms.,SAFE
Compare time management and software design patterns.,SAFE
Help me debug this generic coding issue (no private data): cloud computing.,SAFE
Help me debug this generic coding issue (no private data): public speaking.,SAFE
How does design documents work internally?,SAFE
Suggest learning resources for software design patterns.,SAFE
Write a short summary about software design patterns for beginners.,SAFE
Generate interview questions about time management.,SAFE
Give me tips to improve my algorithms skills.,SAFE
Write a short summary about Agile methodology for beginners.,SAFE
Generate interview questions about public speaking.,SAFE
Compare time management and machine learning.,SAFE
What are some best practices for time management?,SAFE
Explain the concept of code review in simple terms.,SAFE
Help me debug this generic coding issue (no private data): software design patterns.,SAFE
Suggest learning resources for algorithms.,SAFE
What are some best practices for public speaking?,SAFE
Suggest learning resources for code review.,SAFE
Generate interview questions about unit testing.,SAFE
Generate interview questions about data structures.,SAFE
How does cloud computing work internally?,SAFE
Give me tips to improve my REST APIs skills.,SAFE
Suggest learning resources for time management.,SAFE
Explain pros and cons of using design documents in a project.,SAFE
Give me tips to improve my Python loops skills.,SAFE
Write a short summary about unit testing for beginners.,SAFE
Give me tips to improve my FastAPI skills.,SAFE
How does Docker basics work internally?,SAFE
Compare Git branching and Python loops.,SAFE
What are some best practices for SQL joins?,SAFE
Compare OOP in Java and data structures.,SAFE
Compare Docker basics and Docker basics.,SAFE
Suggest learning resources for code review.,SAFE
Give me tips to improve my Docker basics skills.,SAFE
Help me debug this generic coding issue (no private data): design documents.,SAFE
Explain the concept of Python loops in simple terms.,SAFE
Give me tips to improve my Git branching skills.,SAFE
Give me tips to improve my Python loops skills.,SAFE
Write a short summary about OOP in Java for beginners.,SAFE
What are some best practices for Python loops?,SAFE
Compare cloud computing and team collaboration.,SAFE
Suggest learning resources for cloud computing.,SAFE
What are some best practices for SQL joins?,SAFE
Help me debug this generic coding issue (no private data): data structures.,SAFE
Explain pros and cons of using team collaboration in a project.,SAFE
Explain the concept of OOP in Java in simple terms.,SAFE
What are some best practices for time management?,SAFE
Explain pros and cons of using Git branching in a project.,SAFE
Suggest learning resources for code review.,SAFE
Help me debug this generic coding issue (no private data): FastAPI.,SAFE
Give me tips to improve my machine learning skills.,SAFE
Explain pros and cons of using cloud computing in a project.,SAFE
Explain pros and cons of using data structures in a project.,SAFE
Write a short summary about software design patterns for beginners.,SAFE
Give me tips to improve my design documents skills.,SAFE
Give me tips to improve my algorithms skills.,SAFE
Write a short summary about REST APIs for beginners.,SAFE
Suggest learning resources for unit testing.,SAFE
Explain pros and cons of using time management in a project.,SAFE
Compare Docker basics and React components.,SAFE
How does React components work internally?,SAFE
Write a short summary about Docker basics for beginners.,SAFE
Write a short summary about software design patterns for beginners.,SAFE
Help me debug this generic coding issue (no private data): team collaboration.,SAFE
Explain pros and cons of using Agile methodology in a project.,SAFE
Explain the concept of Python loops in simple terms.,SAFE
Suggest learning resources for data structures.,SAFE
What are some best practices for algorithms?,SAFE
Suggest learning resources for time management.,SAFE
Help me debug this generic coding issue (no private data): software design patterns.,SAFE
How does algorithms work internally?,SAFE
How does code review work internally?,SAFE
Suggest learning resources for OOP in Java.,SAFE
How does Agile methodology work internally?,SAFE
Give me tips to improve my SQL joins skills.,SAFE
How does Python loops work internally?,SAFE
Help me debug this generic coding issue (no private data): Docker basics.,SAFE
Suggest learning resources for Agile methodology.,SAFE
Help me debug this generic coding issue (no private data): machine learning.,SAFE
Help me debug this generic coding issue (no private data): time management.,SAFE
Suggest learning resources for cloud computing.,SAFE
What are some best practices for design documents?,SAFE
Explain the concept of Docker basics in simple terms.,SAFE
Explain pros and cons of using cloud computing in a project.,SAFE
Help me debug this generic coding issue (no private data): REST APIs.,SAFE
Help me debug this generic coding issue (no private data): SQL joins.,SAFE
Explain pros and cons of using React components in a project.,SAFE
Explain pros and cons of using code review in a project.,SAFE
Give me tips to improve my time management skills.,SAFE
Compare Agile methodology and code review.,SAFE
Generate interview questions about FastAPI.,SAFE
Suggest learning resources for unit testing.,SAFE
Explain the concept of SQL joins in simple terms.,SAFE
How does public speaking work internally?,SAFE
Help me debug this generic coding issue (no private data): React components.,SAFE
Help me debug this generic coding issue (no private data): data structures.,SAFE
What are some best practices for time management?,SAFE
Help me debug this generic coding issue (no private data): cloud computing.,SAFE
Generate interview questions about Python loops.,SAFE
Help me debug this generic coding issue (no private data): Git branching.,SAFE
Explain pros and cons of using Git branching in a project.,SAFE
Help me debug this generic coding issue (no private data): OOP in Java.,SAFE
Give me tips to improve my software design patterns skills.,SAFE
What are some best practices for Git branching?,SAFE
Generate interview questions about SQL joins.,SAFE
Write a short summary about software design patterns for beginners.,SAFE
"Client account number +91-9876543210, +91-9123456789 seems wrong. Help me verify.",SENSITIVE
Our internal revenue last month was sk_live_12345ABCDEF. Analyze it.,SENSITIVE
"Client account number ₹5,40,000 seems wrong. Help me verify.",SENSITIVE
Employee salary for John is NeoBank Core. Create a chart.,SENSITIVE
"Employee salary for John is ₹12,00,000. Create a chart.",SENSITIVE
"Here is our customer email list: ₹5,40,000. Is this okay to share?",SENSITIVE
This private token 9876543210; 9123456789 is failing authentication. Any ideas?,SENSITIVE
Employee salary for John is 9876543210; 9123456789. Create a chart.,SENSITIVE
Our database connection string is sk_live_12345ABCDEF. Help me fix an error.,SENSITIVE
Our database connection string is Client Atlas. Help me fix an error.,SENSITIVE
"Client account number +91-9876543210, +91-9123456789 seems wrong. Help me verify.",SENSITIVE
"Client account number $250,000 seems wrong. Help me verify.",SENSITIVE
Client account number AKIAIOSFODNN7EXAMPLE seems wrong. Help me verify.,SENSITIVE
Our internal project code name is sk_live_12345ABCDEF. Can I mention it publicly?,SENSITIVE
We processed transactions worth ghp_examplePERSONALACCESSTOKEN123 last quarter. Summarize this.,SENSITIVE
Employee salary for John is Client Atlas. Create a chart.,SENSITIVE
"We processed transactions worth a@company.com, b@company.com last quarter. Summarize this.",SENSITIVE
Here is our customer email list: AKIAIOSFODNN7EXAMPLE. Is this okay to share?,SENSITIVE
We processed transactions worth AKIAIOSFODNN7EXAMPLE last quarter. Summarize this.,SENSITIVE
"Employee salary for John is ₹12,00,000. Create a chart.",SENSITIVE
"This private token +91-9876543210, +91-9123456789 is failing authentication. Any ideas?",SENSITIVE
Employee salary for John is AKIAIOSFODNN7EXAMPLE. Create a chart.,SENSITIVE
We processed transactions worth 9876543210; 9123456789 last quarter. Summarize this.,SENSITIVE
We processed transactions worth ghp_examplePERSONALACCESSTOKEN123 last quarter. Summarize this.,SENSITIVE
Our internal revenue last month was ghp_examplePERSONALACCESSTOKEN123. Analyze it.,SENSITIVE
Our internal project code name is ghp_examplePERSONALACCESSTOKEN123. Can I mention it publicly?,SENSITIVE
"Here is our customer email list: +91-9876543210, +91-9123456789. Is this okay to share?",SENSITIVE
Employee salary for John is Project Orion. Create a chart.,SENSITIVE
"Employee salary for John is client1@bigbank.com, client2@bigbank.com. Create a chart.",SENSITIVE
Employee salary for John is AKIAIOSFODNN7EXAMPLE. Create a chart.,SENSITIVE
Our database connection string is eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.JWTEXAMPLE. Help me fix an error.,SENSITIVE
This private token eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.JWTEXAMPLE is failing authentication. Any ideas?,SENSITIVE
"This private token ₹12,00,000 is failing authentication. Any ideas?",SENSITIVE
Our database connection string is eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.JWTEXAMPLE. Help me fix an error.,SENSITIVE
This private token Project Phoenix is failing authentication. Any ideas?,SENSITIVE
Our database connection string is 9876543210; 9123456789. Help me fix an error.,SENSITIVE
"Client account number +91-9876543210, +91-9123456789 seems wrong. Help me verify.",SENSITIVE
"Employee salary for John is +1-202-555-0199, +1-202-555-0143. Create a chart.",SENSITIVE
"Our database connection string is +1-202-555-0199, +1-202-555-0143. Help me fix an error.",SENSITIVE
Production API key Project Orion is not working. What should I do?,SENSITIVE
Our database connection string is Client Atlas. Help me fix an error.,SENSITIVE
"Client account number ₹30,00,000 seems wrong. Help me verify.",SENSITIVE
"We processed transactions worth ₹30,00,000 last quarter. Summarize this.",SENSITIVE
"Production API key ₹5,40,000 is not working. What should I do?",SENSITIVE
Employee salary for John is sk_live_12345ABCDEF. Create a chart.,SENSITIVE
Here is a sample of phone numbers eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.JWTEXAMPLE. Can I upload this?,SENSITIVE
"Here is our customer email list: client1@bigbank.com, client2@bigbank.com. Is this okay to share?",SENSITIVE
Here is a sample of phone numbers Project Phoenix. Can I upload this?,SENSITIVE
"Our database connection string is $250,000. Help me fix an error.",SENSITIVE
"Here is our customer email list: +1-202-555-0199, +1-202-555-0143. Is this okay to share?",SENSITIVE
We processed transactions worth Project Orion last quarter. Summarize this.,SENSITIVE
Production API key 9876543210; 9123456789 is not working. What should I do?,SENSITIVE
This private token HealthPredict AI is failing authentication. Any ideas?,SENSITIVE
Employee salary for John is NeoBank Core. Create a chart.,SENSITIVE
Here is a sample of phone numbers 9876543210; 9123456789. Can I upload this?,SENSITIVE
Production API key eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.JWTEXAMPLE is not working. What should I do?,SENSITIVE
"Our database connection string is $250,000. Help me fix an error.",SENSITIVE
"Production API key ₹5,40,000 is not working. What should I do?",SENSITIVE
"We processed transactions worth ₹12,00,000 last quarter. Summarize this.",SENSITIVE
Our internal project code name is user1@example.com; user2@example.com. Can I mention it publicly?,SENSITIVE
"Our internal project code name is $250,000. Can I mention it publicly?",SENSITIVE
"Our internal revenue last month was +91-9876543210, +91-9123456789. Analyze it.",SENSITIVE
Client account number ghp_examplePERSONALACCESSTOKEN123 seems wrong. Help me verify.,SENSITIVE
"Our internal revenue last month was ₹12,00,000. Analyze it.",SENSITIVE
"Employee salary for John is a@company.com, b@company.com. Create a chart.",SENSITIVE
Client account number eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.JWTEXAMPLE seems wrong. Help me verify.,SENSITIVE
Employee salary for John is ghp_examplePERSONALACCESSTOKEN123. Create a chart.,SENSITIVE
"We processed transactions worth +1-202-555-0199, +1-202-555-0143 last quarter. Summarize this.",SENSITIVE
We processed transactions worth sk_live_12345ABCDEF last quarter. Summarize this.,SENSITIVE
"We processed transactions worth ₹30,00,000 last quarter. Summarize this.",SENSITIVE
Our database connection string is ghp_examplePERSONALACCESSTOKEN123. Help me fix an error.,SENSITIVE
"Employee salary for John is a@company.com, b@company.com. Create a chart.",SENSITIVE
"Production API key client1@bigbank.com, client2@bigbank.com is not working. What should I do?",SENSITIVE
We processed transactions worth AKIAIOSFODNN7EXAMPLE last quarter. Summarize this.,SENSITIVE
"Production API key $250,000 is not working. What should I do?",SENSITIVE
"Production API key +1-202-555-0199, +1-202-555-0143 is not working. What should I do?",SENSITIVE
"Here is a sample of phone numbers +1-202-555-0199, +1-202-555-0143. Can I upload this?",SENSITIVE
"Here is a sample of phone numbers ₹12,00,000. Can I upload this?",SENSITIVE
Employee salary for John is sk_live_12345ABCDEF. Create a chart.,SENSITIVE
"Our database connection string is $1,200,000. Help me fix an error.",SENSITIVE
"Here is a sample of phone numbers ₹12,00,000. Can I upload this?",SENSITIVE
Our internal revenue last month was Project Phoenix. Analyze it.,SENSITIVE
Our internal revenue last month was Project Orion. Analyze it.,SENSITIVE
Our database connection string is user1@example.com; user2@example.com. Help me fix an error.,SENSITIVE
Here is our customer email list: user1@example.com; user2@example.com. Is this okay to share?,SENSITIVE
"Our database connection string is ₹5,40,000. Help me fix an error.",SENSITIVE
"Our database connection string is a@company.com, b@company.com. Help me fix an error.",SENSITIVE
"Here is a sample of phone numbers alice@corp.local, bob@corp.local. Can I upload this?",SENSITIVE
Here is a sample of phone numbers sk_live_12345ABCDEF. Can I upload this?,SENSITIVE
Our internal revenue last month was eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.JWTEXAMPLE. Analyze it.,SENSITIVE
"Production API key ₹5,40,000 is not working. What should I do?",SENSITIVE
We processed transactions worth sk_live_12345ABCDEF last quarter. Summarize this.,SENSITIVE
We processed transactions worth Client Atlas last quarter. Summarize this.,SENSITIVE
"Client account number ₹12,00,000 seems wrong. Help me verify.",SENSITIVE
Client account number AKIAIOSFODNN7EXAMPLE seems wrong. Help me verify.,SENSITIVE
Production API key ghp_examplePERSONALACCESSTOKEN123 is not working. What should I do?,SENSITIVE
Here is our customer email list: ghp_examplePERSONALACCESSTOKEN123. Is this okay to share?,SENSITIVE
Our internal revenue last month was user1@example.com; user2@example.com. Analyze it.,SENSITIVE
"Our internal revenue last month was ₹12,00,000. Analyze it.",SENSITIVE
"Client account number alice@corp.local, bob@corp.local seems wrong. Help me verify.",SENSITIVE
"Our internal revenue last month was $1,200,000. Analyze it.",SENSITIVE
Production API key eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.JWTEXAMPLE is not working. What should I do?,SENSITIVE
Here is our customer email list: Client Atlas. Is this okay to share?,SENSITIVE
"Production API key $250,000 is not working. What should I do?",SENSITIVE
We processed transactions worth ghp_examplePERSONALACCESSTOKEN123 last quarter. Summarize this.,SENSITIVE
We processed transactions worth Project Phoenix last quarter. Summarize this.,SENSITIVE
Our internal project code name is eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.JWTEXAMPLE. Can I mention it publicly?,SENSITIVE
"Our internal revenue last month was $250,000. Analyze it.",SENSITIVE
"Client account number alice@corp.local, bob@corp.local seems wrong. Help me verify.",SENSITIVE
"We processed transactions worth +91-9876543210, +91-9123456789 last quarter. Summarize this.",SENSITIVE
Here is a sample of phone numbers 9876543210; 9123456789. Can I upload this?,SENSITIVE
"Our database connection string is $1,200,000. Help me fix an error.",SENSITIVE
Here is our customer email list: 9876543210; 9123456789. Is this okay to share?,SENSITIVE
"Our internal revenue last month was $1,200,000. Analyze it.",SENSITIVE
Here is our customer email list: ghp_examplePERSONALACCESSTOKEN123. Is this okay to share?,SENSITIVE
"Our database connection string is ₹30,00,000. Help me fix an error.",SENSITIVE
Our internal project code name is AKIAIOSFODNN7EXAMPLE. Can I mention it publicly?,SENSITIVE
Client account number HealthPredict AI seems wrong. Help me verify.,SENSITIVE
Our internal revenue last month was Project Phoenix. Analyze it.,SENSITIVE
We processed transactions worth sk_live_12345ABCDEF last quarter. Summarize this.,SENSITIVE
Our database connection string is user1@example.com; user2@example.com. Help me fix an error.,SENSITIVE
Here is a sample of phone numbers HealthPredict AI. Can I upload this?,SENSITIVE
Our internal project code name is ghp_examplePERSONALACCESSTOKEN123. Can I mention it publicly?,SENSITIVE
"Production API key alice@corp.local, bob@corp.local is not working. What should I do?",SENSITIVE
"We processed transactions worth ₹5,40,000 last quarter. Summarize this.",SENSITIVE
"Our internal revenue last month was ₹12,00,000. Analyze it.",SENSITIVE
We processed transactions worth AKIAIOSFODNN7EXAMPLE last quarter. Summarize this.,SENSITIVE
"Our internal project code name is a@company.com, b@company.com. Can I mention it publicly?",SENSITIVE
"Client account number +91-9876543210, +91-9123456789 seems wrong. Help me verify.",SENSITIVE
"We processed transactions worth ₹12,00,000 last quarter. Summarize this.",SENSITIVE
Our internal project code name is user1@example.com; user2@example.com. Can I mention it publicly?,SENSITIVE
"Employee salary for John is ₹12,00,000. Create a chart.",SENSITIVE
"This private token client1@bigbank.com, client2@bigbank.com is failing authentication. Any ideas?",SENSITIVE
